page_title,users_reverted_past_1_week
All India Anna Dravida Munnetra Kazhagam,11
Indian National Congress,9
Biju Janata Dal,9
Narendra Modi,8
Communist Party of India (Marxist),6
1980 Indian general election,6
Aam Aadmi Party,5
Rajan Singh,5
Shiv Sena (UBT),5
YSR Congress Party,4
