page_title,change_from_last_week
All India Anna Dravida Munnetra Kazhagam,10
Biju Janata Dal,9
Indian National Congress,8
Narendra Modi,7
Communist Party of India (Marxist),6
1980 Indian general election,6
Aam Aadmi Party,5
Rajan Singh,5
Shiv Sena (UBT),5
2004 Indian general election,4
