page_title,change_from_last_week
Next Telangana Legislative Assembly election,3
1984 anti-Sikh riots,3
Sidhu Moose Wala,2
Gurjara-Pratihara dynasty,2
Statue of Unity,2
Corruption in India,2
Jaipal Singh Munda,2
Maqbool Bhat,2
Desiya Murpokku Dravida Kazhagam,2
1987 West Bengal Legislative Assembly election,2
