page_title,change_from_last_week
India at the 2022 Asian Games,20
Kannur Squad,19
Skanda (film),11
The Vaccine War,9
Anupamaa,5
N. R. Narayana Murthy,5
Jassa Dhillon,5
Kanaka Durga Temple,5
NewsClick,5
Harmilan Bains,5
