page_title,users_reverted_past_1_week
Eagle (2024 film),12
Maharana Pratap,10
India national cricket team,9
Indian 2,9
Pankaj Udhas,9
Mihira Bhoja,9
Article 370 (film),8
Andhra Pradesh,8
Roti canai,8
Motu Patlu,8
