page_title,users_reverted_past_1_week
Beast (2022 film),22
83 (film),18
Bigg Boss (Tamil season 5),17
Pushpa: The Rise,15
Tejasswi Prakash,11
Manoj Mukund Naravane,11
Naagin (2015 TV series),10
Sushmita Sen,10
Harbhajan Singh,10
Gehraiyaan (film),10
