page_title,users_reverted_past_1_week
2021 Kolkata Municipal Corporation election,12
2022 Goa Legislative Assembly election,9
Maharashtra Legislative Assembly,7
Maharashtra Ekikaran Samiti,5
P. T. Thomas,5
United National Liberation Front,4
Janata Party,3
Karnataka Legislative Council,3
2019 Maharashtra Legislative Assembly election,3
Parliament of India,3
