page_title,change_from_last_week
Sitaram Yechury,18
Jitin Prasada,5
Pilibhit Lok Sabha constituency,5
Next Jammu and Kashmir Legislative Assembly election,4
Communist Party of India (Marxist),4
Godi media,4
1947 North-West Frontier Province referendum,3
2005 Haryana Legislative Assembly election,3
Babu Singh Kushwaha,3
Reservation in India,2
