page_title,users_reverted_past_1_month
2022 Uttar Pradesh Legislative Assembly election,51
Uttar Pradesh Legislative Assembly,18
Pawan Kalyan,12
Madan Mohan Malaviya,10
Bihar Legislative Assembly,10
2021 elections in India,9
2008 Mumbai attacks,9
2016 Indian banknote demonetisation,9
Ayodhya,9
Hindu nationalism,9
