page_title,change_from_last_week
Rashtriya Swayamsevak Sangh,8
Uttar Pradesh Legislative Assembly,8
2024 Indian general election,7
2024 Indian general election in Uttar Pradesh,6
2004 Indian general election,5
A. Raja,5
2014 Indian general election,5
2024 Indian general election in West Bengal,5
Next Tamil Nadu Legislative Assembly election,4
1967 Indian general election,4
