page_title,change_from_last_week
Hardik Pandya,11
Vande Bharat Express,7
Sheena Bora murder case,5
Indrani Mukerjea,5
Maratha Empire,5
Maurya Empire,5
Diljit Dosanjh,5
Dhirubhai Ambani,5
Bigg Boss (Hindi season 6),5
Premalu,4
