page_title,change_from_last_week
Neeraj Chopra,14
Aparna Nair,10
Palghar,10
Jawan (film),10
BRICS,8
Shiv Shakti Point,7
Kalki Bhagawan,6
RDX: Robert Dony Xavier,6
Arjun Kapoor,5
Akhand Bharat,5
