page_title,users_reverted_past_1_week
Next Indian general election,9
Gurjara-Pratihara dynasty,6
Indian National Developmental Inclusive Alliance,5
Partition of India,3
Dharmendra,3
Muhammad Iqbal,3
2023 Rajasthan Legislative Assembly election,2
Amritpal Singh Khalsa,2
Rajendra Prasad,2
Pawan Kalyan,2
