page_title,users_reverted_past_1_week
Bappi Lahiri,36
Gehraiyaan (film),35
Shaktimaan (upcoming film),28
Shamita Shetty,14
Dhruv Vikram,13
DJ Tillu,13
Man Singh I,13
Tejasswi Prakash,12
Khiladi (2022 film),11
Battle of Bagru,10
