page_title,users_reverted_past_1_week
Janata Dal (United),5
Sidhu Moose Wala,4
K. Kamaraj,3
National Democratic Alliance,3
Janata Dal (Secular),3
Revolutionary Socialist Party (India),3
Bhupendrabhai Patel,3
Renaming of cities in India,3
Indian National Developmental Inclusive Alliance,3
Nitish Kumar,2
