page_title,change_from_last_week
Janata Dal (Secular),3
Revolutionary Socialist Party (India),3
Bhupendrabhai Patel,3
Renaming of cities in India,3
Indian National Developmental Inclusive Alliance,3
Janata Dal (United),2
K. Kamaraj,2
National Democratic Alliance,2
Indian National Congress,2
Lok Sabha,2
