page_title,users_reverted_past_1_week
Tamilaga Vettri Kazhagam,26
L. K. Advani,10
Sidhu Moose Wala,5
2024 Indian general election in West Bengal,5
Dharmendra,4
P. V. Narasimha Rao,4
Rubab Sayda,4
Next Maharashtra Legislative Assembly election,4
Karpoori Thakur,3
Geeta Barwar,3
