page_title,change_from_last_week
Varisu,25
2022 monkeypox outbreak,17
Shamshera,10
Kurmali language,7
Kishtwari,7
Raksha Bandhan (film),6
2.0 (film),6
Indian Navy,6
Ram Charan,6
Fox Star Studios,6
