page_title,users_reverted_past_1_week
Rajya Sabha,8
All India Anna Dravida Munnetra Kazhagam,7
Next Indian general election,6
United Progressive Alliance,6
Lok Sabha,6
Alauddin Khalji,5
2023 Tripura Legislative Assembly election,3
Next Telangana Legislative Assembly election,3
Tejasvi Surya,3
Chiranjeevi,3
