page_title,users_reverted_past_1_week
Thunivu,33
Bigg Boss (Tamil season 6),18
Varisu,18
Pathaan (film),14
Beast (2022 Indian film),14
Sheezan Mohammed Khan,9
Basharat Peer,8
Wazwan,7
Dean Mahomed,7
Fardeen Khan,7
