page_title,change_from_last_week
Pawan Kalyan,6
K. B. Hedgewar,3
United Progressive Alliance,3
"Citizenship (Amendment) Act, 2019",3
Sarojini Naidu,3
Gautambhai Chauhan,3
Chandra Shekhar,2
All India Forward Bloc,2
Sharad Pawar,2
Jaggayya,2
