page_title,users_reverted_past_1_week
Bramayugam,24
Shreyanka Patil,16
Ahmednagar,15
Bastar: The Naxal Story,12
Razakar – Silent Genocide of Hyderabad,11
Royal Challengers Bangalore,9
Hanu-Man,8
Nikki Haley,8
Next Indian general election in Tamil Nadu,8
Premalu,7
