page_title,users_reverted_past_1_week
West Bengal State Chhatra Parishad,7
Jana Sena Party,5
Madan Mohan Malaviya,4
Shrikant Jichkar,3
Kerala Pradesh Congress Committee,3
Chirag Paswan,2
Muhammad Ali Jinnah,2
Parliament of India,2
Nitish Kumar,2
Savitri Devi,2
