page_title,users_reverted_past_1_week
Next Telangana Legislative Assembly election,6
Telangana Legislative Assembly,5
Anandiben Patel,5
Sidhu Moose Wala,4
Chandra Shekhar Azad,4
Jana Sena Party,4
Sheikh Abdullah,4
2023 Madhya Pradesh Legislative Assembly election,3
Gurjara-Pratihara dynasty,3
Nitish Kumar,3
