page_title,users_reverted_past_1_week
Maaveeran (2023 film),10
Majha,7
Basil,7
Siddique (director),7
Dulquer Salmaan,6
Hari Singh Nalwa,6
Jailer (film),5
East India Company,5
2023 Cricket World Cup,5
Varanasi,5
