page_title,users_reverted_past_1_week
Rocketry: The Nambi Effect,23
2022 monkeypox outbreak,17
Runway 34,11
Liger (film),10
Saurashtra people,9
Kaduva,9
Ram Nath Kovind,8
Ek Villain Returns,8
Indian cricket team in the West Indies and the United States in 2022,8
Vinod Sekhar,8
