page_title,change_from_last_week
Anna Mani,15
Chandragupta Maurya,10
Raju Vootla Party,9
Jailer (film),9
Karan Johar,8
Liger (film),7
Maurya Empire,7
Mango,7
Uttarakhand cricket team,6
Jayaram,6
