page_title,users_reverted_past_1_week
Karthikeya 2,24
Anna Mani,15
Liger (film),12
Chandragupta Maurya,10
Raksha Bandhan (film),9
Salman Rushdie,9
Fear Factor: Khatron Ke Khiladi 12,9
Raju Vootla Party,9
Jailer (film),9
Saurashtra people,8
