page_title,users_reverted_past_1_week
C. Sankaran Nair,6
Vedma Bhojju,6
Radhabinod Pal,5
Mahasweta Devi,5
2025 Pahalgam attack,4
K. Chandrashekar Rao,4
Kaushik Rai,3
Godi media,3
M. G. Ramachandran,3
Sanjay Gandhi,3
