page_title,change_from_last_week
Yakutpura Assembly constituency,5
2023 Madhya Pradesh Legislative Assembly election,4
Madan Mohan Malaviya,4
Cow vigilante violence in India,4
Religious harmony in India,3
Next Andhra Pradesh Legislative Assembly election,3
Udayanraje Bhosale,3
Sidhu Moose Wala,2
2023 Rajasthan Legislative Assembly election,2
Insurgency in Northeast India,2
