page_title,users_reverted_past_1_week
2023 Madhya Pradesh Legislative Assembly election,7
Next Telangana Legislative Assembly election,6
Sidhu Moose Wala,6
Madan Mohan Malaviya,5
Yakutpura Assembly constituency,5
Anandiben Patel,4
2023 Rajasthan Legislative Assembly election,4
Religious harmony in India,4
Cow vigilante violence in India,4
Next Andhra Pradesh Legislative Assembly election,3
