page_title,change_from_last_week
2025 Delhi Legislative Assembly election,14
Sankranthiki Vasthunam,9
Chhaava,8
Dwarka,6
"Abhishek Sharma (cricketer, born 2000)",5
Laughter Chefs – Unlimited Entertainment,5
Anti-Indian sentiment,5
Jassa Singh Ramgarhia,5
Indraprastha,5
Sreeleela,4
