page_title,change_from_last_week
Bhool Bhulaiyaa 3,24
Pidakala War,16
Bigg Boss (Hindi TV series) season 18,13
Vicky Vidya Ka Woh Wala Video,11
Rajpurohit,11
L2: Empuraan,7
Do Patti,7
Cop Universe,7
Kanguva,6
Malabar Muslims,6
