page_title,users_reverted_past_1_week
Brij Bhushan Sharan Singh,19
2023 Karnataka Legislative Assembly election,8
Naam Tamilar Katchi,5
Hindu nationalism,4
Nationalist Congress Party,4
2023 Rajasthan Legislative Assembly election,4
Atique Ahmed,3
Samajwadi Party,3
2023 Rajouri attacks,3
2008 Mumbai attacks,3
