page_title,change_from_last_week
Left Front (Tripura),5
Babu Bajrangi,4
Kiren Rijiju,4
Bolshevik Party of India,3
Communist Party of India (Marxist),3
Bhutan–India relations,3
Secular Democratic Forces,3
National Democratic Alliance,2
Syed Ali Shah Geelani,2
Omar Abdullah,2
