page_title,users_reverted_past_1_week
James (2022 film),25
Sivananda Saraswati,18
Runway 34,17
Farooq Ahmed Dar,13
K.G.F: Chapter 2,12
Aaraattu (2021 film),10
Mer (community),10
Holi,9
Bheemla Nayak,9
RRR (film),9
