page_title,change_from_last_week
Aaraattu (2021 film),19
K. P. A. C. Lalitha,15
Ahluwalia (caste),10
Bheemla Nayak,9
Azad Hind,8
2021–22 Indian Super League season,8
Meena (actress),8
Pawankhind (film),8
Gupta Empire,7
Jogi (caste),7
